Movie ID,Actor ID,Media,Studio,Box Office,Release Year,Director name,Is the director asian?,Character Name,Actor,Ethnicity Specified in Movie?,Character Ethnicity,Character Ethnicity (Cleaned),Character Nationality,Actor Ethnicity,Actor Ethnicity (Cleaned),Actor Nationality,Background Match?
1,1,GANDHI,International Film Corporation (DEFUNCT),"$51,857,886",1982,Richard Attenborough,N,Mahatma Gandhi,Ben Kingsley,Y,Indian,Indian,,"Indian, White",Multiethnic,,Y
2,2,INDIANA JONES AND THE TEMPLE OF DOOM,Paramount Pictures,"$42,267,353",1984,Steven Spielberg,N,Chattar Lal,Roshan Seth,Y,Indian,Indian,,"Indian, White",Multiethnic,,Y
2,3,INDIANA JONES AND THE TEMPLE OF DOOM,Paramount Pictures,"$42,267,353",1984,Steven Spielberg,N,Mola Ram,Amrish Puri,Y,Indian,Indian,,Indian,Indian,,Y
2,4,INDIANA JONES AND THE TEMPLE OF DOOM,Paramount Pictures,"$42,267,353",1984,Steven Spielberg,N,Short Round,Ke Huy Quan,Y,Chinese,Chinese,,Chinese,Chinese,,Y
3,5,MISSING IN ACTION,Cannon Group (Defunct),"$21,630,009",1984,Joseph Zito,N,General Tran,James Hong,Y,Vietnamese,Vietnamese,Vietnamese,Chinese,Chinese,American,N
4,6,RUSH HOUR,New Line Cinema,"$141,153,692",1998,Brett Ratner,N,Lee,Jackie Chan,Y,Chinese,Chinese,Hong Kong,Chinese,Chinese,China,Y
5,7,TOMORROW NEVER DIES,MGM Studios (DEFUNCT),"$78,609,353",1997,Roger Spottiswoode,N,Wai Lin,Michelle Yeoh,Y,Chinese,Chinese,China,Chinese,Chinese,Mongolian,Y
6,8,SEVEN YEARS IN TIBET,Mandalay Pictures,"$36,110,883",1997,Jean-Jacques Annaud,N,Dalai Lama,Jamyang Jamtsho Wangchuk,Y,Tibetan,Tibetan,,Bhutanese,Bhutanese,,N
6,9,SEVEN YEARS IN TIBET,Mandalay Pictures,"$36,110,883",1997,Jean-Jacques Annaud,N,Great Mother,Jetsun Pema,Y,Tibetan,Tibetan,,Bhutanese,Bhutanese,,N
6,10,SEVEN YEARS IN TIBET,Mandalay Pictures,"$36,110,883",1997,Jean-Jacques Annaud,N,Kungo Tsarong,Mako,Y,Tibetan,Tibetan,,Japanese,Japanese,,N
6,11,SEVEN YEARS IN TIBET,Mandalay Pictures,"$36,110,883",1997,Jean-Jacques Annaud,N,Ngawang Jigme,BD Wong,Y,Tibetan,Tibetan,,Chinese,Chinese,,N
6,12,SEVEN YEARS IN TIBET,Mandalay Pictures,"$36,110,883",1997,Jean-Jacques Annaud,N,Pema Lhaki,Lhakpa Tsamchoe,Y,Tibetan,Tibetan,,Tibetan,Tibetan,,Y
7,13,JOHNNY MNEMONIC,Tristar Pictures,"$18,390,619",1995,Robert Longo,N,Takahashi,Takeshi Kitano,Y,Japanese,Japanese,Japanese,Japanese,Japanese,Japanese,Y
8,14,JACKIE CHAN'S FIRST STRIKE,New Line Cinema,"$13,910,370",1997,Stanley Tong,Y,Chan Ka Kui,Jackie Chan,Y,Chinese,Chinese,Chinese,Chinese,Chinese,American,Y
9,15,SUPERCOP,Dimension Films (DEFUNCT),"$12,655,606",1996,Stanley Tong,Y,Chaibat,Kenneth Tsang,Y,Chinese,Chinese,,Chinese,Chinese,Chinese,Y
9,16,SUPERCOP,Dimension Films (DEFUNCT),"$12,655,606",1996,Stanley Tong,Y,Chief of Security Yang,Michelle Yeoh,Y,Chinese,Chinese,,Chinese,Chinese,Malaysian,Y
9,17,SUPERCOP,Dimension Films (DEFUNCT),"$12,655,606",1996,Stanley Tong,Y,Detective Kevin Chan,Jackie Chan,Y,Chinese,Chinese,,Chinese,Chinese,American,Y
9,18,SUPERCOP,Dimension Films (DEFUNCT),"$12,655,606",1996,Stanley Tong,Y,May,Maggie Cheung,Y,Chinese,Chinese,,Chinese,Chinese,British,Y
9,19,SUPERCOP,Dimension Films (DEFUNCT),"$12,655,606",1996,Stanley Tong,Y,Panther,Wah Yuen,Y,Chinese,Chinese,,Chinese,Chinese,Chinese,Y
10,20,MR. NICE GUY,New Line Cinema,"$9,303,970",1998,Sammo Hung,Y,Jackie,Jackie Chan,Y,Chinese,Chinese,American,Chinese,Chinese,American,Y
11,21,TWIN DRAGONS,Dimension Films (DEFUNCT),"$8,332,435",1999,Ringo Lam,Y,Barbara,Maggie Cheung,Y,Chinese,Chinese,American,Chinese,Chinese,British,Y
11,22,TWIN DRAGONS,Dimension Films (DEFUNCT),"$8,332,435",1999,Ringo Lam,Y,John Ma,Jackie Chan,Y,Chinese,Chinese,American,Chinese,Chinese,American,Y
11,23,TWIN DRAGONS,Dimension Films (DEFUNCT),"$8,332,435",1999,Ringo Lam,Y,Tammy,Nina Li Chi,Y,Chinese,Chinese,American,Chinese,Chinese,Chinese,Y
12,24,RUSH HOUR 2,New Line Cinema,"$226,138,462",2001,Brett Ratner,N,Hu Li,Ziyi Zhang,Y,Chinese,Chinese,Hong Kong,Chinese,Chinese,China,Y
12,25,RUSH HOUR 2,New Line Cinema,"$226,138,462",2001,Brett Ratner,N,Lee,Jackie Chan,Y,Chinese,Chinese,Hong Kong,Chinese,Chinese,China,Y
12,26,RUSH HOUR 2,New Line Cinema,"$226,138,462",2001,Brett Ratner,N,Ricky Tan,John Lone,Y,Chinese,Chinese,Hong Kong,Chinese,Chinese,American,Y
13,27,SLUMDOG MILLIONAIRE,Searchlight Pictures,"$141,319,933",2008,Danny Boyle,N,Older Jamal,Dev Patel,Y,Indian,Indian,India,Indian,Indian,,Y
13,28,SLUMDOG MILLIONAIRE,Searchlight Pictures,"$141,319,933",2008,Danny Boyle,N,Older Latika,Freida Pinto,Y,Indian,Indian,India,Indian,Indian,,Y
13,29,SLUMDOG MILLIONAIRE,Searchlight Pictures,"$141,319,933",2008,Danny Boyle,N,Older Salim,Madhur Mittal,Y,Indian,Indian,India,Indian,Indian,,Y
13,30,SLUMDOG MILLIONAIRE,Searchlight Pictures,"$141,319,933",2008,Danny Boyle,N,Police Inspector,Irrfan Khan,Y,Indian,Indian,India,Indian,Indian,,Y
13,31,SLUMDOG MILLIONAIRE,Searchlight Pictures,"$141,319,933",2008,Danny Boyle,N,Prem,Anil Kapoor,Y,Indian,Indian,India,Indian,Indian,,Y
14,32,RUSH HOUR 3,New Line Cinema,"$140,125,969",2007,Brett Ratner,N,Dragon Lady,Youki Kudoh,Y,Japanese,Japanese,,Japanese,Japanese,,Y
14,33,RUSH HOUR 3,New Line Cinema,"$140,125,969",2007,Brett Ratner,N,Kenji,Hiroyuki Sanada,Y,Japanese,Japanese,,Japanese,Japanese,,Y
14,34,RUSH HOUR 3,New Line Cinema,"$140,125,969",2007,Brett Ratner,N,Lee,Jackie Chan,Y,Chinese,Chinese,Hong Kong,Chinese,Chinese,China,Y
15,35,"CROUCHING TIGER, HIDDEN DRAGON",EDKO Films Ltd.,"$128,026,808",2000,Ang Lee,Y,Jen Yu,Ziyi Zhang,Y,Chinese,Chinese,,Chinese,Chinese,,Y
15,36,"CROUCHING TIGER, HIDDEN DRAGON",EDKO Films Ltd.,"$128,026,808",2000,Ang Lee,Y,Lo Dark Cloud,Chang Chen,Y,Chinese,Chinese,,Chinese,Chinese,,Y
15,37,"CROUCHING TIGER, HIDDEN DRAGON",EDKO Films Ltd.,"$128,026,808",2000,Ang Lee,Y,Master Li Mu Bai,Chow Yun-Fat,Y,Chinese,Chinese,,Chinese,Chinese,,Y
15,38,"CROUCHING TIGER, HIDDEN DRAGON",EDKO Films Ltd.,"$128,026,808",2000,Ang Lee,Y,Yu Shu Lien,Michelle Yeoh,Y,Chinese,Chinese,,Chinese,Chinese,,Y
16,39,THE LAST SAMURAI,Warner Bros. Pictures,"$111,127,272",2003,Edward Zwick,N,Katsumoto,Ken Watanabe,Y,Japanese,Japanese,,Japanese,Japanese,,Y
16,40,THE LAST SAMURAI,Warner Bros. Pictures,"$111,127,272",2003,Edward Zwick,N,Taka,Koyuki,Y,Japanese,Japanese,,Japanese,Japanese,,Y
16,41,THE LAST SAMURAI,Warner Bros. Pictures,"$111,127,272",2003,Edward Zwick,N,Ujio,Hiroyuki Sanada,Y,Japanese,Japanese,,Japanese,Japanese,,Y
17,42,THE MUMMY: TOMB OF THE DRAGON EMPEROR,Universal Pictures,"$102,277,515",2008,Rob Cohen,N,Emperor,Jet Li,Y,Chinese,Chinese,,Chinese,Chinese,,Y
17,43,THE MUMMY: TOMB OF THE DRAGON EMPEROR,Universal Pictures,"$102,277,515",2008,Rob Cohen,N,General Yang,Anthony Wong,Y,Chinese,Chinese,,"Chinese, White",Multiethnic,,Y
17,44,THE MUMMY: TOMB OF THE DRAGON EMPEROR,Universal Pictures,"$102,277,515",2008,Rob Cohen,N,Lin,Isabella Leong,Y,Chinese,Chinese,,Chinese,Chinese,,Y
17,45,THE MUMMY: TOMB OF THE DRAGON EMPEROR,Universal Pictures,"$102,277,515",2008,Rob Cohen,N,Ming Guo,Russell Wong,Y,Chinese,Chinese,,"Chinese, White",Multiethnic,,Y
17,46,THE MUMMY: TOMB OF THE DRAGON EMPEROR,Universal Pictures,"$102,277,515",2008,Rob Cohen,N,Zi Yuan,Michelle Yeoh,Y,Chinese,Chinese,,Chinese,Chinese,,Y
18,47,KILL BILL: VOL. 1,Miramax,"$70,099,046",2003,Quentin Tarantino,N,O-Ren Ishii,Lucy Liu,Y,Japanese,Japanese,,Chinese,Chinese,,N
18,48,KILL BILL: VOL. 1,Miramax,"$70,099,046",2003,Quentin Tarantino,N,Gogo,Chiaki Kuriyama,Y,Japanese,Japanese,,Japanese,Japanese,,Y
18,49,KILL BILL: VOL. 1,Miramax,"$70,099,046",2003,Quentin Tarantino,N,Hattori Hanzo,Shin'ichi Chiba,Y,Japanese,Japanese,,Japanese,Japanese,,Y
19,50,KILL BILL: VOL. 2,Miramax,"$66,208,190",2004,Quentin Tarantino,N,Johnny Mo,Chia-Hui Liu,Y,Japanese,Japanese,,Chinese,Chinese,,N
19,51,KILL BILL: VOL. 2,Miramax,"$66,208,190",2004,Quentin Tarantino,N,O-Ren Ishii,Lucy Liu,Y,Japanese,Japanese,,Chinese,Chinese,,N
19,52,KILL BILL: VOL. 2,Miramax,"$66,208,190",2004,Quentin Tarantino,N,Hattori Hanzo,Shin'ichi Chiba,Y,Japanese,Japanese,,Japanese,Japanese,,Y
19,53,KILL BILL: VOL. 2,Miramax,"$66,208,190",2004,Quentin Tarantino,N,Pai Mei,Chia-Hui Liu,Y,Chinese,Chinese,,Chinese,Chinese,,Y
20,54,SHANGHAI KNIGHTS,The Walt Disney Studios,"$60,476,874",2003,David Dobkin,N,Chon Wang,Jackie Chan,Y,Chinese,Chinese,,Chinese,Chinese,,Y
20,55,SHANGHAI KNIGHTS,The Walt Disney Studios,"$60,476,874",2003,David Dobkin,N,Wu Chow,Donnie Yen,Y,Chinese,Chinese,,Chinese,Chinese,,Y
21,56,MEMOIRS OF A GEISHA,Columbia Pictures,"$57,010,862",2005,Rob Marshall,N,Hatsumomo,Gong Li,Y,Japanese,Japanese,,Chinese,Chinese,,N
21,57,MEMOIRS OF A GEISHA,Columbia Pictures,"$57,010,862",2005,Rob Marshall,N,Mameha,Michelle Yeoh,Y,Japanese,Japanese,,Chinese,Chinese,,N
21,58,MEMOIRS OF A GEISHA,Columbia Pictures,"$57,010,862",2005,Rob Marshall,N,Sayuri,Ziyi Zhang,Y,Japanese,Japanese,,Chinese,Chinese,,N
21,59,MEMOIRS OF A GEISHA,Columbia Pictures,"$57,010,862",2005,Rob Marshall,N,Chairman,Ken Watanabe,Y,Japanese,Japanese,,Japanese,Japanese,,Y
22,60,SHANGHAI NOON,The Walt Disney Studios,"$56,902,720",2000,Tom Dey,N,Chon Wang,Jackie Chan,Y,Chinese,Chinese,,Chinese,Chinese,,Y
22,61,SHANGHAI NOON,The Walt Disney Studios,"$56,902,720",2000,Tom Dey,N,Princess Pei Pei,Lucy Liu,Y,Chinese,Chinese,,Chinese,Chinese,,Y
23,62,THE FORBIDDEN KINGDOM,Lionsgate,"$52,075,278",2008,Rob Minkoff,N,Ni Chang,Bingbing Li,Y,Chinese,Chinese,,Chinese,Chinese,,Y
23,63,THE FORBIDDEN KINGDOM,Lionsgate,"$52,075,278",2008,Rob Minkoff,N,Old Hop/Lu Yan,Jackie Chan,Y,Chinese,Chinese,,Chinese,Chinese,,Y
23,64,THE FORBIDDEN KINGDOM,Lionsgate,"$52,075,278",2008,Rob Minkoff,N,The Jade Warlord,Collin Chou,Y,Chinese,Chinese,,Chinese,Chinese,,Y
23,65,THE FORBIDDEN KINGDOM,Lionsgate,"$52,075,278",2008,Rob Minkoff,N,The Monkey King/Silent Monk,Jet Li,Y,Chinese,Chinese,,Chinese,Chinese,,Y
24,66,BEND IT LIKE BECKHAM,Searchlight Pictures,"$32,543,457",2003,Gurinder Chadha,Y,Jess' Bhamra,Archie Panjabi,Y,Indian,Indian,,Indian,Indian,UK,Y
24,67,BEND IT LIKE BECKHAM,Searchlight Pictures,"$32,543,457",2003,Gurinder Chadha,Y,Mr. Bhamra,Anupam Kher,Y,Indian,Indian,,Indian,Indian,,Y
24,68,BEND IT LIKE BECKHAM,Searchlight Pictures,"$32,543,457",2003,Gurinder Chadha,Y,Pinky Bhamra,Parminder Nagra,Y,Indian,Indian,,Indian,Indian,,Y
25,69,AROUND THE WORLD IN 80 DAYS,The Walt Disney Studios,"$24,008,146",2004,Frank Coraci,N,Lau Xing,Jackie Chan,Y,Chinese,Chinese,Chinese,Chinese,Chinese,American,Y
26,70,WAR,Lionsgate,"$22,486,415",2007,Philip G Atwell,N,Rogue / Li Chang,Jet Li,Y,Chinese,Chinese,American,Chinese,Chinese,Singapore,Y
27,71,THE MEDALLION,Screen Gems,"$22,119,984",2003,Gordon Chan,Y,Eddie Yang,Jackie Chan,Y,Chinese,Chinese,Asian,Chinese,Chinese,American,Y
28,72,IRON MONKEY,,"$14,681,670",2001,Woo Ping Yuen,Y,Wong Kei-Ying,Donnie Yen,Y,Chinese,Chinese,,Chinese,Chinese,Chinese,Y
29,73,THE NAMESAKE,Searchlight Pictures,"$13,569,255",2007,Mira Nair,Y,Ashima,Tabu,Y,Indian,Indian,Indian,Indian,Indian,American,Y
29,74,THE NAMESAKE,Searchlight Pictures,"$13,569,255",2007,Mira Nair,Y,Ashoke,Irrfan Khan,Y,Indian,Indian,Indian,Indian,Indian,American,Y
29,75,THE NAMESAKE,Searchlight Pictures,"$13,569,255",2007,Mira Nair,Y,Gogol/Nikhil,Kal Penn,Y,Indian,Indian,American,Indian,Indian,American,Y
29,76,THE NAMESAKE,Searchlight Pictures,"$13,569,255",2007,Mira Nair,Y,Moushumi Mazumder,Zuleikha Robinson,Y,Indian,Indian,American,"Burmese, Indian, White",Multiethnic,British,Y
30,77,THE LEGEND OF DRUNKEN MASTER,Golden Harvest Company,"$11,546,544",2000,Chia-Liang Liu,Y,Ling,Anita Mui,Y,Chinese,Chinese,,Chinese,Chinese,,Y
30,78,THE LEGEND OF DRUNKEN MASTER,Golden Harvest Company,"$11,546,544",2000,Chia-Liang Liu,Y,Master Fu Wen-Chi,Chia-Liang Liu,Y,Chinese,Chinese,,Chinese,Chinese,,Y
30,79,THE LEGEND OF DRUNKEN MASTER,Golden Harvest Company,"$11,546,544",2000,Chia-Liang Liu,Y,Wong Fei-hung,Jackie Chan,Y,Chinese,Chinese,,Chinese,Chinese,American,Y
30,80,THE LEGEND OF DRUNKEN MASTER,Golden Harvest Company,"$11,546,544",2000,Chia-Liang Liu,Y,Wong Kei-ying,Ti Lung,Y,Chinese,Chinese,,Chinese,Chinese,,Y
31,81,HOUSE OF FLYING DAGGERS,EDKO Films Ltd.,"$8,238,008",2004,Yimou Zhang,Y,Jin,Takeshi Kaneshiro,Y,Chinese,Chinese,Chinese,"Chinese, Japanese",Multiethnic,Taiwan,Y
31,82,HOUSE OF FLYING DAGGERS,EDKO Films Ltd.,"$8,238,008",2004,Yimou Zhang,Y,Leo,Andy Lau,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
31,83,HOUSE OF FLYING DAGGERS,EDKO Films Ltd.,"$8,238,008",2004,Yimou Zhang,Y,Xiao Mei,Ziyi Zhang,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
32,84,AMERICAN DREAMZ,Universal Pictures,"$7,191,832",2006,Paul Weitz,N,Iqbal Riza,Winter Jones (Tony Yalda),Y,Iraqi,Iraqi,,Assyrian,Assyrian,American,N
32,85,AMERICAN DREAMZ,Universal Pictures,"$7,191,832",2006,Paul Weitz,N,Omer Obeidi,Sam Golzari,Y,Iraqi,Iraqi,,Iranian,Iranian,British,N
33,86,NATIONAL LAMPOON'S VAN WILDER: THE RISE OF TAJ,MGM Studios (DEFUNCT),"$4,261,359",2006,Mort Nathan,N,Taj Mahal Badalandabad,Kal Penn,Y,Indian,Indian,American,Indian,Indian,American,Y
34,87,2046,Paradis Films,"$1,444,592",2005,Kar Wai Wong,Y,Bai Ling,Ziyi Zhang,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
34,88,2046,Paradis Films,"$1,444,592",2005,Kar Wai Wong,Y,Chow Mo-wan,Tony Chiu Wai Leung,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
34,89,2046,Paradis Films,"$1,444,592",2005,Kar Wai Wong,Y,Lulu,Carina Lau,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
34,90,2046,Paradis Films,"$1,444,592",2005,Kar Wai Wong,Y,Mimi's Boyfriend,Chang Chen,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Taiwanese,Y
34,91,2046,Paradis Films,"$1,444,592",2005,Kar Wai Wong,Y,Su Li-zhen,Gong Li,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
34,92,2046,Paradis Films,"$1,444,592",2005,Kar Wai Wong,Y,Su Li-zhen,Maggie Cheung,Y,Chinese,Chinese,Chinese,Chinese,Chinese,British,Y
34,93,2046,Paradis Films,"$1,444,592",2005,Kar Wai Wong,Y,Tak,Takuya Kimura,Y,Japanese,Japanese,Japanese,Japanese,Japanese,Japanese,Y
34,94,2046,Paradis Films,"$1,444,592",2005,Kar Wai Wong,Y,Wang Jing-wen,Faye Wong,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
35,95,THE CHILDREN OF HUANG SHI,Bluewater Pictures PTY Ltd. (DEFUNCT),"$1,031,873",2008,Roger Spottiswoode,N,Jack,Chow Yun-Fat,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
35,96,THE CHILDREN OF HUANG SHI,Bluewater Pictures PTY Ltd. (DEFUNCT),"$1,031,873",2008,Roger Spottiswoode,N,Mrs. Wang,Michelle Yeoh,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Malaysian,Y
36,97,THE KARATE KID,Columbia Pictures,"$176,591,622",2010,Harald Zwart,N,Meiying's Dad,Zhensu Wu,Y,Chinese,Chinese,,Chinese,Chinese,,Y
36,98,THE KARATE KID,Columbia Pictures,"$176,591,622",2010,Harald Zwart,N,Meiying's Mom,Zhiheng Wang,Y,Chinese,Chinese,,Chinese,Chinese,,Y
36,99,THE KARATE KID,Columbia Pictures,"$176,591,622",2010,Harald Zwart,N,Mr. Han,Jackie Chan,Y,Chinese,Chinese,,Chinese,Chinese,,Y
37,100,CRAZY RICH ASIANS,Warner Bros. Pictures,"$174,052,665",2018,Jon M. Chu,Y,Goh Wye Mun,Ken Jeong,Y,Chinese,Chinese,Singaporean,Korean,Korean,American,N
37,101,CRAZY RICH ASIANS,Warner Bros. Pictures,"$174,052,665",2018,Jon M. Chu,Y,Nick Young,Henry Golding,Y,Chinese,Chinese,Singaporean,"Malaysian, White",Multiethnic,British,N
37,102,CRAZY RICH ASIANS,Warner Bros. Pictures,"$174,052,665",2018,Jon M. Chu,Y,Ah Ma,Lisa Lu,Y,Chinese,Chinese,Singaporean,Chinese,Chinese,American,Y
37,103,CRAZY RICH ASIANS,Warner Bros. Pictures,"$174,052,665",2018,Jon M. Chu,Y,Astrid Young Teo,Gemma Chan,Y,Chinese,Chinese,Singaporean,Chinese,Chinese,British,Y
37,104,CRAZY RICH ASIANS,Warner Bros. Pictures,"$174,052,665",2018,Jon M. Chu,Y,Eleanor Young,Michelle Yeoh,Y,Chinese,Chinese,Singaporean,Chinese,Chinese,Malaysian,Y
37,105,CRAZY RICH ASIANS,Warner Bros. Pictures,"$174,052,665",2018,Jon M. Chu,Y,Peik Lin Goh,Awkwafina,Y,Chinese,Chinese,Singaporean,"Chinese, Korean",Multiethnic,American,Y
37,106,CRAZY RICH ASIANS,Warner Bros. Pictures,"$174,052,665",2018,Jon M. Chu,Y,Rachel Chu,Constance Wu,Y,Chinese,Chinese,American,Chinese,Chinese,American,Y
