Actor,Score
H.E.R.,96
Awkwafina,91
Dwayne Johnson,89
Michelle Yeoh,88
Steven Yeun,84
Ken Jeong,82
Keanu Reeves,82
Hailee Steinfeld,82
Dave Bautista,81
Jason Momoa,80
Greta Lee,79
Ali Wong,79
Riz Ahmed,79
Ben Kingsley,79
Lucy Liu,78
Ke Huy Quan,78
Simu Liu,77
Kumail Nanjiani,77
Sandra Oh,77
Benedict Wong,77
Mindy Kaling,77
Bowen Yang,76
Gemma Chan,75
Stephanie Hsu,75
Charles Melton,75
Fred Armisen,74
Pom Klementieff,74
Jackie Chan,73
Bobby Lee,71
Hiroyuki Sanada,71
Aziz Ansari,71
Darren Criss,71
Naomi Scott,71
Randall Park,70
Adeel Akhtar,70
Kunal Nayyar,69
Henry Golding,69
Constance Wu,68
John Cho,68
Vanessa Hudgens,68
Karan Soni,67
Ken Watanabe,67
Ronny Chieng,67
Margaret Cho,67
Olivia Munn,67
Ken Leung,66
Hong Chau,66
Ne-Yo,66
Jo Koy,66
Donnie Yen,65
Jacob Batalon,65
Akshay Kumar,65
Sarita Choudhury,65
Shay Mitchell,65
David Strathairn,65
Hasan Minhaj,64
Himesh Patel,64
Tadanobu Asano,64
Aamir Khan,64
BD Wong,62
Ziyi Zhang,62
James Hong,62
Shah Rukh Khan,62
Rinko Kikuchi,62
Daniel Dae Kim,62
Kelsey Asbille,62
Norah Jones,62
Archie Panjabi,61
Ravi Patel,61
Brian Tee,61
Asif Ali,61
Kenneth Choi,61
Jamie Chung,61
Adhir Kalyan,61
Raymond Lee,60
Ashley Park (III),60
Harry Shum Jr.,60
Sarayu Blue,60
Lana Condor,60
Karen Fukuhara,60
Sung Kang,60
Jessica Henwick,60
Indira Varma,60